45	61	115	60	n
36	59	145	58	n
270	80	286	57	n
232	68	292	65	n
225	63	290	61	n
290	88	293	59	n
254	78	278	62	n
36	60	155	59	n
257	61	355	61	n
67	56	153	56	n
49	70	187	61	n
216	50	312	50	n
58	51	165	50	n
79	62	195	59	n
236	62	313	61	n
214	61	275	58	n
34	60	151	57	n
37	63	138	63	n
68	75	99	58	n
49	53	139	53	n
189	47	295	46	n
237	45	296	41	n
112	74	260	61	n
205	42	296	42	n
214	56	309	56	n
37	77	202	48	n
58	61	195	51	n
248	58	6	55	n
61	67	173	65	n
28	58	168	46	n
30	69	106	68	n
41	63	144	62	n
23	68	105	68	n
249	48	346	48	n
248	69	332	69	n
195	68	310	66	n
274	70	321	63	n
267	71	0	71	n
