Trend;Plunge
43;-69
80;-54
213;-30
239;-50
254;-38
75;-50
247;-39
225;-26
224;-59
255;-56
195;-12
222;-13
222;-39
243;-36
8;-84
222;-32
233;-38
260;-53
250;-76
183;-14
200;-7
251;-65
256;-48
64;-66
232;-37
283;-83
215;-25
276;-62
257;-57
292;-59
265;-60
245;-45
252;-52
65;-65
318;-80
255;-48
230;-40
250;-40
295;-58
78;-45
65;-62
31;-73
235;-43
251;-46
315;-68
49;-69
74;-55
257;-65
304;-65
209;-27
232;-24
259;-52
252;-43
77;-60
72;-57
60;-67
229;-47
197;-23
250;-40
84;-38
249;-52
90;-45
230;-58
